


53,15/06/2023,25351.124385/2005-63,0608619/23-5,11722,Pós-Registro - Notificação do Processo da CADIFA
54,15/06/2023,25351.139371/2005-44,0608645/23-4,11722,Pós-Registro - Notificação do Processo da CADIFA
55,15/06/2023,25351.139371/2005-44,0608668/23-3,11722,Pós-Registro - Notificação do Processo da CADIFA
56,15/06/2023,25351.124385/2005-63,0608684/23-5,11722,Pós-Registro - Notificação do Processo da CADIFA
57,15/06/2023,25351.318731/2011-52,0609714/23-6,11722,Pós-Registro - Notificação do Processo da CADIFA
58,15/06/2023,25351.015738/2003-73,0610401/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
59,19/06/2023,25351.819439/2016-73,0617998/23-3,11722,Pós-Registro - Notificação do Processo da CADIFA
60,19/06/2023,25351.040170/2004-18,0621794/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
61,19/06/2023,25351.243637/2007-14,0621812/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
62,20/06/2023,25351.386639/2011-02,0626628/23-2,11722,Pós-Registro - Notificação do Processo da CADIFA
63,21/06/2023,25351.722189/2009-89,0631537/23-2,11722,Pós-Registro - Notificação do Processo da CADIFA
64,22/06/2023,25351.006433/0183,0639584/23-8,11722,Pós-Registro - Notificação do Processo da CADIFA
65,23/06/2023,25000.036246/9864,0644922/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
66,26/06/2023,25351.785832/2008-16,0651096/23-5,11722,Pós-Registro - Notificação do Processo da CADIFA
67,26/06/2023,25351.006244/0020,0651110/23-4,11722,Pós-Registro - Notificação do Processo da CADIFA
68,28/06/2023,25351.933753/2020-04,0662553/23-3,11722,Pós-Registro - Notificação do Processo da CADIFA
69,28/06/2023,25351.664035/2020-74,0663419/23-2,11722,Pós-Registro - Notificação do Processo da CADIFA
70,28/06/2023,25351.012531/2013-18,0663603/23-9,11722,Pós-Registro - Notificação do Processo da CADIFA
71,28/06/2023,25351.016790/2008-51,0663958/23-5,11722,Pós-Registro - Notificação do Processo da CADIFA
72,28/06/2023,25351.189260/2012-76,0664051/23-6,11722,Pós-Registro - Notificação do Processo da CADIFA
73,29/06/2023,25351.178175/2017-31,0666052/23-5,11722,Pós-Registro - Notificação do Processo da CADIFA
74,30/06/2023,25351.082578/2008-82,0672907/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
75,30/06/2023,25351.174705/2017-78,0673732/23-3,11722,Pós-Registro - Notificação do Processo da CADIFA
76,11/07/2023,25351.063726/2019-12,0713736/23-2,11722,Pós-Registro - Notificação do Processo da CADIFA
77,12/07/2023,25992.012446/70,0719329/23-7,11722,Pós-Registro - Notificação do Processo da CADIFA
78,14/07/2023,25351.190145/2019-52,0727782/23-2,11722,Pós-Registro - Notificação do Processo da CADIFA
79,17/07/2023,25351.453013/2012-10,0733173/23-8,11722,Pós-Registro - Notificação do Processo da CADIFA
80,18/07/2023,25351.049089/2009-86,0738935/23-3,11722,Pós-Registro - Notificação do Processo da CADIFA
81,19/07/2023,25351.574815/2011-46,0749235/23-9,11722,Pós-Registro - Notificação do Processo da CADIFA
82,24/07/2023,25351.028135/2004-12,0762861/23-7,11722,Pós-Registro - Notificação do Processo da CADIFA
83,24/07/2023,25351.028135/2004-12,0762891/23-9,11722,Pós-Registro - Notificação do Processo da CADIFA
84,24/07/2023,25000.031363/9689,0764872/23-3,11722,Pós-Registro - Notificação do Processo da CADIFA
85,28/07/2023,25351.666306/2014-92,0788918/23-6,11722,Pós-Registro - Notificação do Processo da CADIFA
86,28/07/2023,25351.310802/2006-70,0790150/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
87,28/07/2023,25351.187065/2007-86,0790232/23-8,11722,Pós-Registro - Notificação do Processo da CADIFA
88,03/08/2023,25991.002612/81,0812012/23-9,11722,Pós-Registro - Notificação do Processo da CADIFA
89,03/08/2023,25351.041905/2006-84,0812724/23-7,11722,Pós-Registro - Notificação do Processo da CADIFA
90,03/08/2023,25351.022571/2004-88,0812841/23-3,11722,Pós-Registro - Notificação do Processo da CADIFA
91,03/08/2023,25351.010009/2011-18,0812888/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
92,04/08/2023,25351.428759/2014-76,0818103/23-9,11722,Pós-Registro - Notificação do Processo da CADIFA
93,04/08/2023,25351.428759/2014-76,0818114/23-4,11722,Pós-Registro - Notificação do Processo da CADIFA
94,07/08/2023,25351.561635/2009-23,0820703/23-8,11722,Pós-Registro - Notificação do Processo da CADIFA
95,14/08/2023,25351.022367/2003-86,0849326/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
96,22/08/2023,25000.033989/9611,0886435/23-7,11722,Pós-Registro - Notificação do Processo da CADIFA
97,22/08/2023,25351.164305/2002-60,0886425/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
98,23/08/2023,25351.220265/2021-14,0890112/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
99,24/08/2023,25351.066970/2017-75,0896319/23-3,11722,Pós-Registro - Notificação do Processo da CADIFA
100,29/08/2023,25351.595763/2016-04,0913395/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
101,31/08/2023,25351.010009/2011-18,0929135/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
102,01/09/2023,25351.110461/2021-73,0934377/23-6,11722,Pós-Registro - Notificação do Processo da CADIFA
103,04/09/2023,25351.243160/2014-13,0939868/23-6,11722,Pós-Registro - Notificação do Processo da CADIFA
104,05/09/2023,25351.694183/2017-04,0943056/23-3,11722,Pós-Registro - Notificação do Processo da CADIFA
105,05/09/2023,25351.010849/2003-93,0945077/23-7,11722,Pós-Registro - Notificação do Processo da CADIFA
106,05/09/2023,25351.110461/2021-73,0945165/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
107,05/09/2023,25351.504961/2012-61,0945355/23-5,11722,Pós-Registro - Notificação do Processo da CADIFA
108,05/09/2023,25351.290146/2004-10,0946295/23-3,11722,Pós-Registro - Notificação do Processo da CADIFA
109,05/09/2023,25351.694183/2017-04,0947044/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
110,06/09/2023,25351.262055/2004-94,0947953/23-8,11722,Pós-Registro - Notificação do Processo da CADIFA
111,06/09/2023,25351.216727/2005-71,0948186/23-9,11722,Pós-Registro - Notificação do Processo da CADIFA
112,06/09/2023,25351.609399/2018-77,0950610/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
113,18/09/2023,25351.883713/2016-35,0986315/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
114,28/09/2023,25351.016643/0071,1031202/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
115,29/09/2023,25351.374539/2020-03,1038268/23-2,11722,Pós-Registro - Notificação do Processo da CADIFA
116,29/09/2023,25351.012022/0082,1038893/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
117,29/09/2023,25351.168623/2002-08,1039028/23-6,11722,Pós-Registro - Notificação do Processo da CADIFA
118,29/09/2023,25351.011018/0070,1039172/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
119,29/09/2023,25351.862195/2016-00,1039635/23-7,11722,Pós-Registro - Notificação do Processo da CADIFA
120,02/10/2023,25351.028904/2004-82,1046954/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
121,02/10/2023,25351.866755/2021-53,1046969/23-9,11722,Pós-Registro - Notificação do Processo da CADIFA
122,04/10/2023,25000.016098/88,1056412/23-8,11722,Pós-Registro - Notificação do Processo da CADIFA
123,05/10/2023,25351.243637/2007-14,1063765/23-6,11722,Pós-Registro - Notificação do Processo da CADIFA
124,12/10/2023,25000.002308/9716,1089008/23-4,11722,Pós-Registro - Notificação do Processo da CADIFA
125,13/10/2023,25351.566320/2008-34,1089540/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
126,13/10/2023,25351.500821/2008-58,1089525/23-6,11722,Pós-Registro - Notificação do Processo da CADIFA
127,16/10/2023,25992.012446/70,1101595/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
128,17/10/2023,25351.504961/2012-61,1110775/23-8,11722,Pós-Registro - Notificação do Processo da CADIFA
129,18/10/2023,25351.799163/2018-13,1116047/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
130,18/10/2023,25351.799163/2018-13,1116077/23-2,11722,Pós-Registro - Notificação do Processo da CADIFA
131,19/10/2023,25351.167584/2014-91,1121810/23-0,11722,Pós-Registro - Notificação do Processo da CADIFA
132,23/10/2023,25351.538537/2011-43,1143112/23-1,11722,Pós-Registro - Notificação do Processo da CADIFA
